Position,Move,Depth,Score
3r2k1/5ppp/1PP5/3n4/2r5/1R3BP1/5P1P/6K1 w - - 1 29,f3d5,8,+1708
qbrn1k1r/p3ppp1/1pb2n2/2pp1N2/7p/1P3NP1/P1PPPP1P/QBR1BRK1 b kq - 1 8,d5d4,10,-632
rk1r1n2/pp2p2p/3p4/3b1pp1/5P2/1P3N1P/P1P1P1PB/K1Q4B b kq - 0 14,g5g4,1,+3220
1k6/1p4p1/5p1p/p3bP2/P3Pp2/5P2/1q6/3RK3 w - - 0 35,d1d3,1,-11865
rbkq2nr/pp1b2p1/5pp1/3p4/2pP4/4PN2/PPQN1PPP/R1K1B2R w KQkq - 0 10,b2b3,19,-38
5rk1/1bn4r/p1p1pp1p/1pPp2p1/PP1P2P1/2B1PP2/1R3KP1/1B5R w - - 0 29,a4b5,13,+323
1r2kqrb/ppp3pp/1nnpbp2/4p3/4P3/1NNPB1P1/PPP2P1P/2KR1QRB b kq - 3 7,g7g5,16,+143
2q2k2/4p3/1p3n2/3P3p/8/6Pb/PB3P1P/Q4RK1 b - - 0 24,c8f5,19,+117
bqrkr1nb/p2ppppp/1pp3n1/8/8/1P3NP1/P1PPPP1P/BQRKRN1B w KQkq - 0 4,f3g5,13,+202
2r1b1kr/ppb2ppp/3np3/3pn1q1/3P4/BPP2B2/P2NQPPP/R5KR w KQk - 0 14,d4e5,13,-220
3r1krb/ppqbp2p/2p2pp1/2NpPn2/2nP1P2/1NP3P1/PP2KB1P/1Q1R2RB b kq - 2 11,d7c8,19,+95
rqb1kbrn/pppppppp/2n5/8/4P3/2N5/PPPP1PPP/RQB1KBRN b KQkq - 2 2,h8g6,19,+3
2krqbbN/pp6/2p2p2/2P3p1/1P1pP3/P2P2P1/1Q2N3/R4RK1 b - - 0 20,f8g7,10,+427
8/8/8/1p1N3n/1P4k1/P5p1/6K1/8 w - - 8 66,d5e3,11,0
b2b1kr1/p4ppp/4pnn1/2p5/2P1P2q/1B3PN1/P5PP/BQR2RK1 b k - 0 12,a8c6,10,+401
1kr3r1/pbb1qp2/1p4p1/1N6/1PQ2p2/P3P1N1/3P2PP/1RR3K1 w - - 2 23,e3f4,19,+45
bqrb1rk1/pppppppp/5nn1/8/1PP4P/6N1/P2PPPP1/BQRBKRN1 b KQ - 0 4,g6h4,19,-107
