Position,Move,Depth,Score
r6n/1kb3q1/1p1p1n1p/p1pPp1p1/2P1B1P1/PPB2P2/1K1RR3/7Q w - - 2 38,e2h2,30,+264
2r5/rkBp2pp/3Pp1b1/1q1pPp2/pPpR1P2/P1Q3P1/7P/K1R5 b - - 2 31,g6h5,50,-75
2kr1bb1/pp5p/2p1r1p1/1P1pPp2/P2P1P2/6P1/2R4P/RNK4B b Q - 1 18,g6g5,50,12
bbrk1qrn/pp1ppppp/5n2/2p5/2P5/6N1/PP1PPPPP/BBRKNQR1 w KQkq - 0 3,b2b3,50,+56
rnk1b1r1/pp2p2q/6p1/3P1p1n/3Q2NP/1R6/PPP2P2/R1KB4 b Qkq - 0 17,f5g4,30,-378
8/6pp/2n5/3kp3/1Pb2p2/2BR1P2/6PP/4K3 b - - 0 39,c4d3,20,-500
1qn2rk1/7p/4b1p1/P2p1pP1/npp1pP2/4P1PQ/1PKP1N2/3RR2B b - - 2 22,b4b3,20,-765
2kr1n1r/pb3p1p/1p2p1p1/1qpp4/5PN1/1P1P2P1/P1P4P/1RK1Q1RB b KQ - 2 12,b5e8,40,-116
rk4r1/pppqbppp/4p1n1/3n4/3PN3/1N3P2/PPP1QBPP/2KR1R2 w kq - 6 11,c2c4,40,+192
8/p5rk/1p1p4/2pPb2p/2P1N2P/1P3RP1/P5K1/8 w - - 16 40,f3f5,30,+467
brkbrnq1/pppppppp/6n1/8/3PP3/8/PPP2PPP/BRKBRNQN b KQkq - 0 2,f7f5,50,+15
1rkb3r/1pppp2b/pn2n2q/Q2PP1pp/5p2/1N3P2/PPP1BBPP/1RK1N2R b KQkq - 1 11,e6g7,40,+119
3rr3/1kp1n1pp/q2p1p2/1p6/1P2PP2/p1P1Q1N1/P5PP/1R3RK1 w - - 1 24,b1e1,50,0
1r1r2k1/p3p1q1/4n1p1/1N3p1p/1PpP1P1P/3QP3/KB4P1/3R4 w - - 0 26,d3c4,40,-207
2kr1r2/pp4p1/6p1/2PP4/1P6/P6P/2Q1K1Pq/b4R2 b - - 0 29,h2e5,7,#-5
brkbrnnq/pppp1pp1/8/4p2p/4P3/1P6/P1PP1PPP/BRKBRNNQ w KQkq - 0 3,g1h3,50,+29
1k1r1r2/ppp4p/3p1bpn/3P1p2/P1PP4/1P1K1BP1/7P/3R1RB1 w - - 2 21,a4a5,40,+151
1k4q1/p2n2bp/1p2p1p1/3nPp2/3P1P2/1N2N1P1/P6P/BKQ5 w - - 0 20,e3d5,30,+336
r4rk1/1pp1p1bp/3p2p1/p2P4/P1n5/1qP3PP/1P1Q1BB1/1R3RK1 w - - 3 24,d2d1,50,-61
6K1/p7/2p1k3/4Pp2/pPPq4/8/8/8 b - - 1 49,d4c4,16,#-12
n1qrkrbb/p1pppp1p/2p3p1/8/5P2/6P1/PPPPP2P/NNQRKRB1 w KQkq - 0 4,c2c4,50,0
qrnk2r1/p4ppp/1pbbp1n1/3p4/1P3P2/3P2P1/2P1PNBP/QRNKB1R1 w KQkq - 0 9,c1b3,40,203
8/pp1k4/3r2p1/5b1p/2R5/3pK1P1/P2R3P/8 b - - 7 39,d6e6,50,0
b1r4k/pq3rp1/4Nn1p/5P2/P4b2/8/Q5PP/B2R1R1K w - - 0 30,e6f4,40,+116
7r/2N1kbbp/2Bn4/1p1P1p2/4p3/5P2/P1N3PP/1R4K1 w - - 0 26,c7b5,30,+203
qbk4N/ppp1p1pp/4Q3/P7/8/3r4/1P3PPP/5RKR b KQ - 0 15,d3d7,16,#+4
2bkr2b/p1p2Rr1/1p6/7p/3PpNn1/BPP1P3/P1KN4/4R3 w - - 4 25,f7g7,50,0
k2rq3/pp5p/3rnR2/2pb4/3pP1P1/PN1P2QP/BPP5/1K1R4 b - e3 0 23,d4e3,30,442
3nkrbb/ppq1pp1p/1nr5/3p2p1/3P4/2P3P1/PP2NP1P/NQR1KRBB w KQk - 0 8,f2f4,50,+112
3rk2r/pQ1p3p/1p2p1p1/5p2/P3q3/1P2P1P1/2RP1PKP/2R5 w q - 5 21,b7e4,30,+220
