Position,Move,Depth,Score
bnrkrnqb/ppppp1pp/8/8/4p3/1P6/P1PP1PPP/BNRKRNQB w KQkq - 0 3,f1g3,19,-57
R7/7k/4Kb2/7p/5rpP/8/8/8 w - - 0 62,a8a7,10,-3437
1k6/p2n2pQ/3b1p2/1pp5/2Pp1P2/2q3P1/P1B1r2P/1K1R4 w - - 0 34,h7d3,10,-2758
r1nk1r1q/pppp2pp/4b3/1N4b1/2PB1P2/3p4/PPK3PP/R2B1R1Q w - - 0 12,c2d3,19,-55
1qb2rBb/pp1pk3/5p2/2P1pQp1/2n5/6P1/PP1P1P1P/N1BNRKR1 w KQ - 0 11,f5h7,10,4304
1k1r2bb/pp2R2p/1np3p1/8/8/NP4P1/1PP3BP/2K3B1 b - - 1 22,h8f6,19,0
rb3rkq/1ppb1pp1/5n2/p2pn2p/7P/2P1PPP1/PPBBN3/R1KN1R1Q b KQ - 0 10,a5a4,13,-310
rbkr4/pp3bpp/2ppn1n1/4p3/BQ6/2PP1PN1/PP2P1PP/R1KR2B1 w KQkq - 1 11,c3c4,9,3828
1br2rk1/pq3ppp/1pbp1nn1/4p3/2P1P3/1P3NN1/P1Q2PPP/BBR2RK1 b - - 0 11,b6b5,19,-54
6q1/1k4rp/1p1pNb2/p2P4/P7/1P3NP1/5PKP/2R5 b - - 2 30,g7e7,10,-2458
8/3nk2p/R3p1pP/p7/1b2p3/4P3/P4PPK/8 b - - 5 33,d7e5,19,-83
qn2k2r/pp4p1/2pbbp2/3pp2p/8/3PBPP1/PPP1P2P/QNRN1RK1 w k - 0 9,e3f2,10,820
r3q2r/pp1b1pkp/2n3p1/2pNp3/4B3/2PP4/PP2QPPP/R5KR b KQ - 4 14,a8d8,19,-69
b1r2rkq/1p1p3p/3np1p1/5p2/3n1P2/1PNN2P1/P1PPPQ1P/2R2RKB b - - 3 11,h8g7,10,449
1rkrqbb1/pppp2pp/1n3pn1/4pN2/4P3/1N3P2/PPPP2PP/1RKRQBB1 b KQkq - 1 5,b8a8,19,-17
1k5N/pp6/2pb3p/6p1/8/2P1B3/PP1K3P/4R2N w - - 3 24,h8f7,9,9007
4r1kb/ppp2b1p/1n4p1/5p2/5P2/1N1rq1P1/PPR1NR1P/1Q4KB w - - 2 16,e2c3,10,-499
rb1k1r2/pp2qn1p/1np1ppp1/3p4/P2P4/BPPB2P1/4N2P/R2KNRQ1 b KQkq - 2 16,b8d6,13,274
