Position,Score,Move
1b3kr1/p4ppp/1pb5/2p2N1n/2P5/1P1p2KP/P2Pq1P1/B2Q2R1 w k - 0 18,#-1,g3h4
8/8/4k3/1p1pP3/3P1Kb1/2P3P1/7P/8 w - - 0 46,#+31,f4g4
rnQ3br/p1k2ppp/3Np3/3p4/8/1P4B1/P1P3PP/b2BKN1R b K - 6 14,#+3,c7b6
8/5p1p/6p1/2k5/P7/6P1/1R1N1PBP/5K2 b - - 0 25,#+25,c5d4
5n1r/7k/1p5p/1P1B1N2/8/8/3PPPPP/2BRQ1KR b KQ - 0 26,#+14,f8g6
kr6/1p1n1b2/p1p2bp1/P2p1p2/Q2P4/N1P5/K7/7q b - - 0 38,#-48,f5f4
4r1b1/kp4q1/4p1p1/1pNp1p1p/1P1P1P1P/1PR2QP1/1K6/4RNB1 w - - 2 27,#+28,e1a1
8/1pk2b1p/8/8/8/3N2K1/1p6/7r b - - 1 42,#-11,b2b1q
br1r4/1p2qppp/2pNk3/Q2BPp2/2N2P2/1P6/P1PP2PP/1RK1R3 b KQ - 0 16,#+24,c6d5
1r6/3Q2pp/3b1k2/4pp2/2pq4/5B2/PP4PP/4RR1K w - - 0 26,#+25,e1d1
bb2qrk1/p1p2np1/5p1p/1p1P1P2/6Q1/1P1B3R/r5PP/5K2 b - - 1 24,#-7,a2a1
8/1ppkn2p/3p1p2/4r3/8/p7/5K2/8 b - - 1 42,#-7,a3a2
2r5/8/8/2p2Rpp/2P4k/1PBP4/P2K4/6R1 b - - 3 30,#+12,c8f8
rb4k1/pp4pp/4n3/2p5/4q3/1KP5/PP5P/3R4 w - - 2 24,#-21,a2a3
1q1r2b1/pk2pp1p/1pQ5/3Pb3/4P3/5P2/P5PP/1BRNKN1R b K - 4 15,#+2,b7a6
r6b/1k5p/1p2N1p1/1Q1pPp2/3P1P2/3N2P1/1PP4P/1K1R3B b - - 2 19,#+7,a8d8
2kr3r/1p4pp/1p3p2/8/2qp1P2/b2N2P1/P1KP2BP/Q2R3R w - - 0 19,#-11,a1c3
1r1k2rb/p1p1np1p/1p1p4/8/4p3/P5P1/QPPP1qRP/1RK1N3 b kq - 1 15,#-1,f2e1
